#---Properties and values from: http://dbpedia.org/resource/Leipzig
Property	Value
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Anton_Wilhelm_Plaz
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Oscar_Peschel
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Arthur_Saxon
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Felix_Eisengräber
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Stefan_Junge
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Adalbert_Friedrich
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Otto_Hölder
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Paul_Beckers
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Andreas_Gursky
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Friedrich_Konrad_Müller
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Christian_Fürchtegott_Gellert
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Karl_Piutti
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Carl_Reichenbach
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Melchior_Lotter
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Friedrich_Arnold_Brockhaus
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Testo_(rapper)
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Gustav_Gröber
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Herman_Berlinski
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Erhard_Geißler
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Christian_Friedrich_Ludwig
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Christian_Friedrich_Ludwig
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Harry_Suhl
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Otto_Ribbeck
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Julius_Klengel
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Julius_Klengel
http://dbpedia.org/ontology/wikiPageRedirects	http://dbpedia.org/resource/Knautnaundorf
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Roman_Osin
