"EntityType"	"totalSameAs"
"http://dbpedia.org/class/yago/Traveler109629752"	528596
"http://dbpedia.org/class/yago/Activity100407535"	523319
"http://dbpedia.org/ontology/Artist"	504557
"http://www.wikidata.org/entity/Q483501"	502804
"http://dbpedia.org/class/yago/Building102913152"	500322
"http://dbpedia.org/class/yago/Official110372373"	488686
"http://dbpedia.org/class/yago/Head110162991"	483068
"http://dbpedia.org/class/yago/Musician110340312"	478562
"http://dbpedia.org/ontology/Infrastructure"	472835
"http://dbpedia.org/class/yago/Measure100033615"	460592
"http://dbpedia.org/class/yago/Relation100031921"	458717
"http://dbpedia.org/class/yago/Scientist110560637"	454326
"http://dbpedia.org/class/yago/Company108058098"	449745
"http://dbpedia.org/class/yago/Female109619168"	440657
"http://dbpedia.org/class/yago/Area108497294"	439978
"http://dbpedia.org/class/yago/Woman110787470"	439529
"http://dbpedia.org/class/yago/Administrator109770949"	437226
"http://dbpedia.org/ontology/MusicalArtist"	430068
"http://dbpedia.org/class/yago/Content105809192"	418730
"http://dbpedia.org/class/yago/WrittenCommunication106349220"	417564
"http://dbpedia.org/class/yago/Thing100002452"	408260
"http://dbpedia.org/class/yago/Contest107456188"	407134
"http://dbpedia.org/class/yago/Serviceman110582746"	404893
"http://dbpedia.org/class/yago/Part113809207"	402384
"http://dbpedia.org/class/yago/WikicatAmericanPeople"	383246
"http://dbpedia.org/class/yago/Unit108189659"	383245
"http://dbpedia.org/ontology/OfficeHolder"	382100
"http://dbpedia.org/class/yago/Town108665504"	380264
"http://dbpedia.org/class/yago/Station104306080"	370226
"http://dbpedia.org/ontology/NaturalPlace"	368802
"http://dbpedia.org/ontology/Band"	368411
"http://www.wikidata.org/entity/Q41176"	361649
"http://dbpedia.org/class/yago/WikicatWomen"	358728
"http://dbpedia.org/ontology/Event"	358054
"http://dbpedia.org/class/yago/FundamentalQuantity113575869"	351889
"http://dbpedia.org/class/yago/TimePeriod115113229"	351314
"http://schema.org/Event"	350153
"http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Event"	350153
